,Comapany_name,Rating,Sector,Domain,Employees,Age,Location
801,Punj Lloyd,4.3,Public,Engineering & Construction,5k-10k Employees,42 years old,Gurgaon/Gurugram +70 more
802,TE Connectivity,4.1,Forbes Global 2000,Electronics Manufacturing,1k-5k Employees,83 years old,Schaffhausen +13 more
803,Sahara India Pariwar,3.8,Conglomerate,Broadcasting,5k-10k Employees,46 years old,Lucknow +220 more
804,JSW Cement,4.1,Conglomerate,Building Material,1k-5k Employees,15 years old,Mumbai +109 more
805,Jaquar,4.2,None,None,None,None,None
806,Automotive Manufacturers,4.2,None,None,None,None,None
807,Adobe,4.2,Public,Software Product,5k-10k Employees,27 years old,San Jose +14 more
808,Petrofac,4.4,None,None,None,None,None
809,Slk Software Services,3.6,None,None,None,None,None
810,Spencer's Retail,3.9,Public,Retail,1k-5k Employees,161 years old,Kolkata +56 more
811,Worley,4.1,None,None,None,None,None
812,CSB Bank,3.4,None,None,None,None,None
813,Apexon,3.4,None,None,None,None,None
814,IIFL SAMASTA,4.0,None,None,None,None,None
815,Dhoot Transmission,3.6,None,None,None,None,None
816,Capri Global Capital,3.6,Public,NBFC,1k-5k Employees,27 years old,Mumbai +210 more
817,R Systems International,3.4,Public,IT Services & Consulting,1k-5k Employees,31 years old,El Dorado Hills +16 more
818,Siemens Gamesa Renewable Energy,4.1,None,None,None,None,None
819,Morningstar,3.9,None,None,None,None,None
820,Serco,4.4,None,None,None,None,None
821,Hinduja Leyland Finance,4.1,None,None,None,None,None
822,Nielsen,3.8,None,None,None,None,None
823,Tikona Infinet,3.7,None,None,None,None,None
824,Sonata Software,3.7,Public,IT Services & Consulting,1k-5k Employees,38 years old,Bangalore/Bengaluru +11 more
825,Hatsun Agro Product,4.0,Public,Food Processing,5k-10k Employees,54 years old,Chennai +98 more
826,NSH,3.7,None,None,None,None,None
827,Thyrocare Technologies,3.5,Public,Healthcare,1k-5k Employees,28 years old,Mumbai +62 more
828,Podar International School,4.3,None,None,None,None,None
829,Viraj Profiles,3.8,None,None,None,None,None
830,iQor Global Services,3.5,None,None,None,None,None
831,Arvind Lifestyle Brands,4.1,None,None,None,None,None
832,Episource,3.8,None,None,None,None,None
833,Shriram Life Insurance,3.8,Conglomerate,Insurance,1k-5k Employees,19 years old,Hyderabad/Secunderabad +215 more
834,Coca-Cola Company,4.3,Forbes Global 2000,Beverage,5k-10k Employees,138 years old,Atlanta +161 more
835,Strides Pharma,3.9,Public,Pharma,201-500 Employees,34 years old,Bangalore/Bengaluru +30 more
836,HPCL-Mittal Energy Limited,4.3,None,None,None,None,None
837,Decathlon,4.0,None,None,None,None,None
838,Urban Company,3.6,Indian Unicorn,Internet,1k-5k Employees,9 years old,Gurgaon +51 more
839,FastInfo,4.3,Startup,EdTech,501-1k Employees,5 years old,Kolkata +7 more
840,Mando Automotive,3.9,Fortune India 500,Auto Components,1k-5k Employees,18 years old,Kanchipuram +18 more
841,Atos Global IT Solutions And Services,4.0,None,None,None,None,None
842,RBL FinServe,4.1,None,None,None,None,None
843,Sunknowledge Services,4.0,None,None,None,None,None
844,OpenText Technologies,3.9,None,None,None,None,None
845,JK Lakshmi Cement,3.9,Public,Building Material,1k-5k Employees,42 years old,Delhi/NCR +112 more
846,Sri Chaitanya Educational Institutions,3.8,None,None,None,None,None
847,PNC Infratech,4.0,Public,Engineering & Construction,5k-10k Employees,25 years old,Delhi/NCR +74 more
848,Kirloskar Oil Engines,4.2,Public,Industrial Machinery,1k-5k Employees,78 years old,Pune +81 more
849,Bajaj Housing Finance,3.9,None,None,None,None,None
850,Shubham Housing Development Finance,4.0,None,None,None,None,None
851,Onward Technologies Inc,3.2,Public,Software Product,1k-5k Employees,33 years old,Mumbai +61 more
852,MDIndia Health Insurance TPA,3.8,None,None,None,None,None
853,Kendriya Vidyalaya Sangathan,4.3,Public,Education & Training,10k-50k Employees,61 years old,Delhi/NCR +206 more
854,Airtel Payments Bank,4.2,Public,FinTech,501-1k Employees,8 years old,Delhi/NCR +217 more
855,iMerit,3.8,Startup,Software Product,1k-5k Employees,12 years old,Kolkata +10 more
