,Comapany_name,Rating,Sector,Domain,Employees,Age,Location
1326,FIITJEE,3.8,None,None,None,None,None
1327,Somany Ceramics,4.3,Public,Building Material,1k-5k Employees,56 years old,Noida +64 more
1328,Ienergizer BPO Services,4.2,None,None,None,None,None
1329,Epsilon,4.1,None,None,None,None,None
1330,uFaber,2.9,Startup,Education & Training,1k-5k Employees,11 years old,Mumbai +19 more
1331,Tafe Motors & Tractors,4.0,None,None,None,None,None
1332,Microtek International,3.7,None,None,None,None,None
1333,India Shelter Finance Corporation,4.1,None,None,None,None,None
1334,Trimax IT Infrastructure Services,3.5,None,None,None,None,None
1335,National Informatics Centre,4.1,Central,Government,1k-5k Employees,48 years old,New Delhi +64 more
1336,Mott MacDonald,4.3,None,None,None,None,None
1337,Epicenter Technologies,3.6,None,None,None,None,None
1338,Rentokil Pest Control,3.8,None,None,None,None,None
1339,Royal Caribbean International,4.5,Public,Sports & Recreation,501-1k Employees,55 years old,Miami +16 more
1340,Sun Life Financial,4.3,Forbes Global 2000,Financial Services,1k-5k Employees,159 years old,Toronto +7 more
1341,McKinsey & Company,4.1,None,None,None,None,None
1342,Vijay Sales,4.2,None,None,None,None,None
1343,Sintex Industries,4.1,Public,Industrial Machinery,5k-10k Employees,93 years old,Kalol +53 more
1344,Orient Electric,4.0,Public,Consumer Electronics & Appliances,501-1k Employees,70 years old,Delhi/NCR +49 more
1345,Marsh McLennan,4.1,Forbes Global 2000,Management Consulting,5k-10k Employees,153 years old,New York +19 more
1346,Raychem RPG,4.1,None,None,None,None,None
1347,eTeam,3.3,None,None,None,None,None
1348,Omaxe,4.0,Public,Real Estate,201-500 Employees,35 years old,Delhi/NCR +22 more
1349,United Spirits,4.0,Public,Beverage,1k-5k Employees,27 years old,Bangalore/Bengaluru +93 more
1350,Deepak Nitrite,3.9,Public,Chemicals,1k-5k Employees,54 years old,Vadodara/Baroda +14 more
1351,Creambell,4.1,None,None,None,None,None
1352,Sl Lumax,3.4,Public,Auto Components,1k-5k Employees,27 years old,Sriperumbudur +13 more
1353,Titan Eye Plus,4.3,None,None,None,None,None
1354,Sutherland Healthcare Solutions,3.9,None,None,None,None,None
1355,India Japan Lighting,4.3,None,None,None,None,None
1356,Atkins,3.9,None,None,None,None,None
1357,EPL Limited,4.0,Public,Packaging,1k-5k Employees,40 years old,Mumbai +32 more
1358,Bikanervala,4.0,None,None,None,None,None
1359,Amway India Enterprises,4.1,None,None,None,None,None
1360,Parag Milk Foods,4.0,Public,FMCG,1k-5k Employees,32 years old,Mumbai +65 more
1361,Mount Litera Zee School,4.0,None,None,None,None,None
1362,Lovely Professional University,3.5,None,None,None,None,None
1363,Greenlam Industries,4.2,Public,Building Material,1k-5k Employees,11 years old,New Delhi +83 more
1364,ACTE,4.7,None,None,None,None,None
1365,Micro Turners,3.9,None,None,None,None,None
1366,Gayatri Projects,4.0,Public,Engineering & Construction,1k-5k Employees,61 years old,Hyderabad / Secunderabad +68 more
1367,Care Hospital,4.1,None,None,None,None,None
1368,Zetwerk Manufacturing Businesses,4.0,Indian Unicorn,Industrial Machinery,1k-5k Employees,6 years old,Bangalore / Bengaluru +74 more
1369,Cigniti Technologies,3.8,Public,IT Services & Consulting,1k-5k Employees,26 years old,Hyderabad / Secunderabad +6 more
1370,MPS Limited,4.0,Public,Content Development,1k-5k Employees,54 years old,Dehradun +21 more
1371,Experis IT,3.1,None,None,None,None,None
1372,Hapag-Lloyd,3.9,None,None,None,None,None
1373,Thermo Fisher Scientific,3.9,Forbes Global 2000,Pharma,1k-5k Employees,68 years old,Bangalore / Bengaluru +27 more
1374,PeopleStrong,3.5,None,None,None,None,None
1375,Diebold Nixdorf,3.9,None,None,None,None,None
1376,Baxter International,4.0,Forbes Global 2000,Healthcare,1k-5k Employees,93 years old,Ahmedabad +27 more
1377,Vaco Binary Semantics,3.6,None,None,None,None,None
1378,Molex,3.9,None,None,None,None,None
1379,Aequs,3.7,None,None,None,None,None
